21670,#a335ee,Abzeichen der Schwarmwache ,
21529,#a335ee,Amulett der Schattenabwehr ,
21702,#a335ee,Amulett des faulen Zauberschutzes ,
21712,#a335ee,Amulett des gefallenen Gottes ,
21608,#a335ee,Amulett von Vek´nilash ,
21695,#a335ee,Angelistas Berührung ,
21690,#a335ee,Angelistas Glücksbringer ,
21700,#a335ee,Anhänger des Qirajiwächters ,
21604,#a335ee,Armreife der königlichen Erlösung ,
21611,#a335ee,Armschienen des Wühlers ,
22630,#ff8000,Atiesh, Hohestab des Wächters ,
22631,#ff8000,Atiesh, Hohestab des Wächters ,
22589,#ff8000,Atiesh, Hohestab des Wächters ,
22632,#ff8000,Atiesh, Hohestab des Wächters ,
21221,#a335ee,Auge von C´Thun ,
22730,#a335ee,Augenstrangkordel ,
21526,#a335ee,Band der eisigen Tiefen ,
20928,#a335ee,Befehlsbindungen der Qiraji ,
21667,#a335ee,Beinplatten des flammenden Lichts ,
21579,#a335ee,Bezwungene Tentakel von C´Thun ,
21218,#0070dd,Blauer Qirajiresonanzkristall ,
21814,#a335ee,Brustplatte der Vernichtung ,
21652,#a335ee,Brustschutz aus Silithidenknochenpanzer ,
22402,#a335ee,Buchband der Anmut ,
21697,#a335ee,Cape der Dreifaltigkeit ,
22196,#a335ee,Dicke Obsidianbrustplatte ,
21675,#a335ee,Dicker Qirajihautgürtel ,
20932,#a335ee,Dominanzbindungen der Qiraji ,
21615,#a335ee,Don Rigobertos verlorener Hut ,
21531,#a335ee,Drachenzahnhalskette ,
21694,#a335ee,Dreistoffmantel ,
21527,#a335ee,Dunkelwasserroben ,
21134,#a335ee,Dunkle Schneide des Irrsinns ,
21693,#a335ee,Erscheinung des Verschlingers ,
21523,#a335ee,Fangzahn von Korialstrasz ,
21647,#a335ee,Fetisch des Sandhäschers ,
20726,#0070dd,Formel: Handschuhe - Bedrohung ,
20735,#0070dd,Formel: Umhang - Feingefühl ,
21682,#a335ee,Gallenbespritzte Stulpen ,
21698,#a335ee,Gamaschen der bodenlosen Tiefe ,
21676,#a335ee,Gamaschen des faulenden Schwarms ,
